Type|Items|DMPG Price gp
Wondrous Items|Cube Of Force|5,000 gp
Wondrous Items|Cubic Gate|164,000 gp
Wondrous Items|Cuddly Strixhaven Mascot|100 gp
Wondrous Items|Cursed Luckstone|250 gp
Wondrous Items|Daern's Instant Fortress|5,000 gp
Weapons|Dagger Of Blindsight|1,000 gp
Weapons|Dagger Of Venom|1,500 gp
Weapons|Dancing Sword (any sword)|10,000 gp
Wondrous Items: Neck|Dark Shard Amulet|75 gp
Weapons|Dawnbringer (longsword)|57,000 gp
Wondrous Items|Decanter Of Endless Water|300 gp
Wondrous Items|Deck Of Illusions|450 gp
Wondrous Items|Deck Of Many Things|250,000 gp
Wondrous Items|Deck Of Several Things|51,000 gp
Weapons|Defender (any sword)|55,000 gp
Armor|Demon Armor (plate) (cursed)|7,500 gp
Wondrous Items|Devastation Orb (Air)|8,000 gp
Wondrous Items|Devastation Orb (Earth)|11,000 gp
Wondrous Items|Devastation Orb (Fire)|9,500 gp
Wondrous Items|Devastation Orb (Water)|9,500 gp
Weapons|Devotee's Censer (flail)|4,500 gp
Wondrous Items|Dimensional Loop|6,000 gp
Wondrous Items|Dimensional Shackles|2,800 gp
Wondrous Item|Dispelling Stone|7,000 gp
Wondrous Items|Docent|4,500 gp
Wondrous Items|Docent|4,500 gp
Wondrous Items|Dodecahedron Of Doom|750 gp
Armor|Dragon Scale Mail|15,000 gp
Weapons|Dragon Slayer (any sword)|4,800 gp
Woundrous Items|Dragon Vessel (Ascendant)|150,000 gp
Woundrous Items|Dragon Vessel (Slumbering)|500 gp
Woundrous Items|Dragon Vessel (Stirring)|3,000 gp
Woundrous Items|Dragon Vessel (Wakened)|25,000 gp
Weapons|Dragon Wing Bow|4,000 gp
Woundrous Items|Dragon-Touched Focus (Ascendant)|30,000 gp
Woundrous Items|Dragon-Touched Focus (Slumbering)|400 gp
Woundrous Items|Dragon-Touched Focus (Stirring)|2,000 gp
Woundrous Items|Dragon-Touched Focus (Wakened)|10,000 gp
Weapons|Dragon's Wrath weapon (Ascendant) (any)|65,000 gp
Weapons|Dragon's Wrath weapon (Slumbering) (any)|250 gp
Weapons|Dragon's Wrath weapon (Stirring) (any)|3,000 gp
Weapons|Dragon's Wrath weapon (Wakened) (any)|11,000 gp
Armor|Dragonguard (breastplate)|4,000 gp
Wondrous Items|Dragonhide Belt (Rare)|4,000 gp
Wondrous Items|Dragonhide Belt (Uncommon)|400 gp
Wondrous Items|Dragonhide Belt (Very Rare)|14,000 gp
Weapons|Dragonlance|25,000 gp
Staffs|Dragonstaff Of Ahghairon|50,500 gp
Weapons|Dragontooth Dagger|5,000 gp
Wondrous Items: Head|Dread Helm|55 gp
Wondrous Items|Driftglobe|100 gp
Weapons|Drown (trident)|66,000 gp
Wondrous Items|Duplicitous Manuscript|3,000 gp
Weapons|Duskcrusher|8,500 gp
Wondrous Items|Dust of Corrosion|150 gp
Wondrous Item|Dust of Deliciousness|150 gp
Wondrous Items|Dust Of Disappearance|200 gp
Wondrous Items|Dust Of Dryness (1 pellet)|350 gp
Wondrous Items|Dust Of Sneezing And Choking|150 gp
Armor|Dwarven Plate|25,000 gp
Weapons|Dwarven Thrower (warhammer)|25,000 gp
Weapons|Dyrrn's Tentacle Whip|17,000 gp
Wondrous Items|Eagle Whistle|600 gp
Wondrous Items|Ear Horn Of Hearing|75 gp
Wondrous Items|Earworm|225 gp
Wondrous Items|Efreeti Bottle|45,000 gp
Armor|Efreeti Chain (chain mail)|80,000 gp
Wondrous Items|Eldritch Claw Tattoo|500 gp
Staffs|Eldritch Staff|2,000 gp
Wondrous Items|Elemental Essence Shard|3,500 gp
Wondrous Items|Elemental Gem|250 gp
Potions & Oils|Elixir Of Health|2,000 gp
Armor|Elven Chain|4,500 gp
Wondrous Items|Emerald Pen|250 gp
Wondrous Items|Enduring Spellbook|100 gp
Wondrous Items: Eyes|Ersatz Eye|75 gp
Wondrous Items|Everbright Lantern|100 gp
Wondrous Items|Everbright Lantern|100 gp
Wondrous Items|Eversmoking Bottle|270 gp
Wondrous Items: Eyes|Eyes Of Charming|300 gp
Wondrous Items: Eyes|Eyes Of Minute Seeing|150 gp
Wondrous Items: Eyes|Eyes Of The Eagle|400 gp
Weapons|Fane-Eater (battleaxe)|55,000 gp
Wondrous Items|Far Gear|7,500 gp
Wondrous Items|Far Realm Shard|2,500 gp
Wondrous Items|Feather Of Diatryma Summoning|600 gp
Wondrous Items|Feather Token|25 gp
Wondrous Items|Feather Token (Feather Fall)|25 gp
Wondrous Items|Feather Token Feather Fall|25 gp
Wondrous Items|Feywild Shard|250 gp
Wondrous Items|Figurine of Wondrous Power (Bronze Griffon)|3,600 gp
Wondrous Items|Figurine of Wondrous Power (Ebony Fly)|3,600 gp
Wondrous Items|Figurine of Wondrous Power (Golden Canary)|55,000 gp
Wondrous Items|Figurine of Wondrous Power (Golden Lions)|5,000 gp
Wondrous Items|Figurine of Wondrous Power (Ivory Goats - Terror)|5,000 gp
Wondrous Items|Figurine of Wondrous Power (Ivory Goats - Travail)|5,000 gp
Wondrous Items|Figurine of Wondrous Power (Ivory Goats - Travelling)|5,000 gp
Wondrous Items|Figurine of Wondrous Power (Marble Elephant)|5,000 gp
Wondrous Items|Figurine of Wondrous Power (Obsidian Steed)|28,500 gp
Wondrous Items|Figurine of Wondrous Power (Onyx Dog)|3,200 gp
Wondrous Items|Figurine of Wondrous Power (Serpentine Owl)|3,000 gp
Wondrous Items|Figurine of Wondrous Power (Silver Raven)|380 gp
Wondrous Items|Finder's Goggles|500 gp
Weapons|Flail of Tiamat|70,000 gp
Weapons|Flame Tongue|5,000 gp
Wondrous Items|Flying Chariot|4,750 gp
Wondrous Items|Folding Boat|4,750 gp
Weapons|Frost Brand (any sword)|11,000 gp
Wondrous Items|Fulminating Treatise|4,000 gp
Wondrous Items|Galder's Bubble Pipe|2,000 gp
Weapons|Gambler's Blade|10,000 gp
Wondrous Items|Gauntlets Of Flaming Fury|2,000 gp
Wondrous Items: Hands|Gauntlets Of Ogre Power|450 gp
Wondrous Items|Gavel Of The Venn Rune|2,800 gp
Wondrous Items|Gem Of Brightness|250 gp
Wondrous Items|Gem Of Seeing|5,000 gp
Wondrous Items|Ghost Lantern|1,750 gp
Wondrous Items|Ghost Step Tattoo|9,000 gp
Weapons|Giant Slayer (any sword or axe)|4,600 gp
Wondrous Items|Glamerweave (Common)|50 gp
Wondrous Items|Glamerweave (Uncommon)|150 gp
Armor|Glamoured Studded Leather|4,800 gp
Wondrous Items: Hands|Gloves Of Missile Snaring|325 gp
Wondrous Items: Hands|Gloves Of Swimming And Climbing|250 gp
Wondrous Items: Hands|Gloves Of Thievery|300 gp
Wondrous Items: Eyes|Goggles Of Night|300 gp
Wondrous Item|Goggles of Object Reading|350 gp
Weapons|Greater Silver Sword|16,000 gp
Wondrous Items|Guardian Emblem|300 gp
Wondrous Items|Guild Charms|450 gp
Wondrous Items|Guild Keyrune (Azorius)|1,000 gp
Wondrous Items|Guild Keyrune (Boros)|3,500 gp
Wondrous Items|Guild Keyrune (Dimir)|26,000 gp
Wondrous Items|Guild Keyrune (Golgari)|7,500 gp
Wondrous Items|Guild Keyrune (Gruul)|2,800 gp
Wondrous Items|Guild Keyrune (Izzet)|1,850 gp
Wondrous Items|Guild Keyrune (Orzhov)|1,100 gp
Wondrous Items|Guild Keyrune (Rakdos)|400 gp
Wondrous Items|Guild Keyrune (Selesnya)|1,500 gp
Wondrous Items|Guild Keyrune (Simic)|500 gp
Rings|Guild Signet|350 gp
Staffs|Gulthias Staff|2,200 gp
Weapons|Gurt's Greataxe|67,000 gp
Weapons|Hammer Of Thunderbolts (maul)|51,000 gp
Wondrous Items|Handy Haversack|2,000 gp
Wondrous Items: Head|Hat Of Disguise|475 gp
Wondrous Items: Head|Hat Of Vermin|65 gp
Wondrous Items: Head|Hat Of Wizardry|75 gp
Weapons|Hazirawn (greatsword)|66,000 gp
Wondrous Items: Head|Headband Of Intellect|450 gp
Wondrous Items|Heart Weaver's Primer|3,000 gp
Wondrous Items: Shoulders|Hell Hound Cloak|1,700 gp
Weapons|Hellfire Weapon|500 gp
Wondrous Items: Head|Helm Of Brilliance|32,000 gp
Wondrous Items: Head|Helm Of Comprehending Languages|200 gp
Wondrous Items: Head|Helm Of Devil Command|21,500 gp
Wondrous Items: Head|Helm Of Telepathy|300 gp
Wondrous Items: Head|Helm Of Teleportation|4,250 gp
Wondrous Items|Helm of the Gods|1,200 gp
Wondrous Items|Helm Of The Scavenger|175000 gp
Wondrous Items|Helm Of Underwater Action|500 gp
Weapons|Hew (battleaxe)|800 gp
Wondrous Items|Heward's Handy Haversack|2,000 gp
Wondrous Items|Heward's Handy Spice Pouch|100 gp
Armor|Heward's Hireling Armor (leather)|7,000 gp
Weapons|Holy Avenger (any sword)|65,000 gp
Wondrous Items: Neck|Holy Symbol Of Ravenkind|51,000 gp
Wondrous Items|Hook of Fisher's Delight|550 gp
Wondrous Items|Horn Of Blasting|2,500 gp
Wondrous Items|Horn Of Silent Alarm|85 gp
Wondrous Items|Horn Of Valhalla (Brass)|5,000 gp
Wondrous Items|Horn Of Valhalla (Bronze)|20,000 gp
Wondrous Items|Horn Of Valhalla (Iron)|50,000 gp
Wondrous Items|Horn Of Valhalla (Silver)|5,000 gp
Rings|Horned Ring|10,000 gp
Wondrous Items|Horseshoes Of A Zephyr|6,000 gp
Wondrous Items|Horseshoes Of Speed|3,000 gp
Armor|Hunter's Coat|5,000 gp
Wondrous Items|Icon Of Ravenloft|50,500 gp
Armor|Ild Rune Armor|3,000 gp
Weapons|Ild Rune Weapon (any)|400 gp
Wondrous Items|Illuminator's Tattoo|65 gp
Wondrous Items: Arms & Wrists|Illusionist's Bracers|13,500 gp
Wondrous Items|Imbued Wood Focus|75 gp
Rods|Immovable Rod|500 gp
Woundrous Items|Incantation of Iriolarthas|100,000 gp
Wondrous Items|Infernal Puzzle Box|3,500 gp
Wondrous Items|Infernal Tack|8,000 gp
Wondrous Items|Ingot Of The Skold Rune|15,000 gp
Wondrous Items|Insignia Of Claws|450 gp
Wondrous Items|Instant Fortress|5,000 gp
Wondrous Items|Instrument Of Illusions|100 gp
Wondrous Items|Instrument Of Scribing|80 gp
Wondrous Items|Instrument of the Bards (Anstruth Harp)|17500 gp
Wondrous Items|Instrument of the Bards (Canaith Mandolin)|3750 gp
Wondrous Items|Instrument of the Bards (Cli Lyre)|4250 gp
Wondrous Items|Instrument of the Bards (Doss Lute)|250 gp
Wondrous Items|Instrument of the Bards (Fochulan Bandore)|350 gp
Wondrous Items|Instrument of the Bards (Mac-Fuirmidh Cittern)|450 gp
Wondrous Items|Instrument of the Bards (Ollamh Harp)|51,000 gp
Wondrous Items: Head|Ioun Stone (Absorption)|20,000 gp
Wondrous Items: Head|Ioun Stone (Agility)|8,000 gp
Wondrous Items: Head|Ioun Stone (Awareness)|4,000 gp
Wondrous Items: Head|Ioun Stone (Fortitude)|8,000 gp
Wondrous Items: Head|Ioun Stone (Greater Absorption)|60,000 gp
Wondrous Items: Head|Ioun Stone (Insight)|8,000 gp
Wondrous Items: Head|Ioun Stone (Intellect)|8,000 gp
Wondrous Items: Head|Ioun Stone (Leadership)|8,000 gp
Wondrous Items: Head|Ioun Stone (Mastery)|60,000 gp
Wondrous Items: Head|Ioun Stone (Protection)|3,600 gp
Wondrous Items: Head|Ioun Stone (Regeneration)|55,000 gp
Wondrous Items: Head|Ioun Stone (Reserve)|4,500 gp
Wondrous Items: Head|Ioun Stone (Strength)|8,000 gp
Wondrous Items: Head|Ioun Stone (Sustenance)|3,000 gp
Wondrous Items: Head|Ioun Stone (Vitality)|1,000 gp
Wondrous Items|Ioun Stone Of Historical Knowledge|500 gp
Wondrous Items|Ioun Stone Of Language Knowledge|500 gp
Wondrous Items|Ioun Stone Of Natural Knowledge|500 gp
Wondrous Items|Ioun Stone Of Religious Knowledge|500 gp
Wondrous Items|Ioun Stone Of Self Preservation|750 gp
Wondrous Items|Ioun Stone Of Supreme Intellect|600 gp
Wondrous Items|Iron Bands Of Bilarro|2,600 gp
Wondrous Items|Iron Bands Of Binding|2,600 gp
Wondrous Items|Iron Flask|170,000 gp
Weapons|Ironfang (war pick)|76,000 gp
Wondrous Items: Feet|Ise Rune Boots|2,650 gp
Wondrous Items: Shoulders|Ise Rune Cloak|1,200 gp
Weapons|Javelin Of Backbiting (or spear)|6,500 gp
Weapons|Javelin Of Lightning|350 gp
Wondrous Items|Keoghtom's Ointment (Per Dose)|400 gp
Wondrous Items|Keycharm|50 gp
Wondrous Items: Head|Knave's Eye Patch|2,000 gp
Weapons|Korolnor Scepter|63,000 gp
Wondrous Items|Kyrzin's Ooze|21,000 gp
Wondrous Items|Lantern Of Revealing|500 gp
Wondrous Items|Lantern of Tracking|75 gp
Armor|Last Stand Armor|6,500 gp
Armor|Leather Golem Armor|3,000 gp
Wondrous Items|Libram of Souls and Flesh|4,200 gp
Wondrous Items|Lifewell Tattoo|5,100 gp
Weapons|Lightbringer (mace)|1,600 gp
Armor|Living Armor|9,500 gp
Wondrous Items|Living Gloves|500 gp
Wondrous Items|Loadstone|150 gp
Wondrous Items|Lock Of Trickery|50 gp
Wondrous Items: Body|Lord's Ensemble|5,000 gp
Wondrous Items|Lorehold Primer|300 gp
Wondrous Items: Head|Lost Crown Of Besilmer|23,000 gp
Weapons|Luck Blade|100,000 gp
Wondrous Item|Luxon Beacon|35,000 gp
Wondrous Items|Lyre of Building|4,750 gp
Weapons|Mace Of Disruption|1,750 gp
Weapons|Mace Of Smiting|2,000 gp
Weapons|Mace Of Terror|3,500 gp
Wondrous Items: Shoulders|Mantle Of Spell Resistance|4,200 gp
Wondrous Items|Manual Of Bodily Health|36,000 gp
Wondrous Items|Manual Of Gainful Exercise|36,000 gp
Wondrous Items|Manual Of Golems|22,000 gp
Wondrous Items|Manual Of Quickness Of Action|36,000 gp
Armor|Mariner's Armor|+400 gp
Wondrous Items|Marvelous Pigments|16,000 gp
Wondrous Items: Eyes|Mask Of The Beast|200 gp
Wondrous Items|Masquerade Tattoo|75 gp
Weapons|Matalotok|70,000 gp
Wondrous Items: Neck|Medallion Of Thoughts|300 gp
Weapons|Mind Blade (any sword)|2,000 gp
Armor|Mind Carapace Armor|+500 gp
Weapons|Mind Lash (whip)|750 gp
Wondrous Items|Mirror Of Life Trapping|50,000 gp
Wondrous Items|Mirror Of The Past|3,800 gp
Armor|Mithral Armor (medium or heavy, not hide)|+450 gp
Wondrous Items: Body|Mizzium Apparatus|500 gp
Armor|Mizzium Armor|+1,500 gp
Wondrous Items|Mizzium Mortar|2,100 gp
Armor|Molten Bronze Skin|+1,300 gp
Wondrous Items|Moodmark Paint|50 gp
Weapons|Moon Sickle, +1|1,500 gp
Weapons|Moon Sickle, +2|4,000 gp
Weapons|Moon Sickle, +3|16,500 gp
Weapons|Moon-Touched Sword|+75 gp
Potions & Oils|Mummy Rot Antidote|150 gp
Wondrous Items|Mystery Key|50 gp
Wondrous Items|Nature's Mantle|325 gp
Wondrous Items|Navigation Orb|27,000 gp
Wondrous Items: Neck|Necklace Of Adaptation|450 gp
Wondrous Items: Neck|Necklace of Fireballs (1 Bead)|725 gp
Wondrous Items: Neck|Necklace of Fireballs (2 Beads)|1,450 gp
Wondrous Items: Neck|Necklace of Fireballs (3 Beads)|2,175 gp
Wondrous Items: Neck|Necklace of Fireballs (4 Beads)|2,900 gp
Wondrous Items: Neck|Necklace of Fireballs (5 Beads)|3,625 gp
Wondrous Items: Neck|Necklace of Fireballs (6 Beads)|4,350 gp
Wondrous Items: Neck|Necklace Of Prayer Beads (Blessing)|5,000 gp
Wondrous Items: Neck|Necklace Of Prayer Beads (Curing)|5,000 gp
Wondrous Items: Neck|Necklace Of Prayer Beads (Favor)|5,000 gp
Wondrous Items: Neck|Necklace Of Prayer Beads (Smiting)|5,000 gp
Wondrous Items: Neck|Necklace Of Prayer Beads (Summons)|5,000 gp
Wondrous Items: Neck|Necklace Of Prayer Beads (Wind Walking)|5,000 gp
Weapons|Needle of Mending|1,400 gp
Wondrous Items|Night Caller|350 gp
Wondrous Item|Nightfall Pearl|51,000 gp
Weapons|Nine Lives Stealer (Fully Charged) (any sword)|36,000 gp
Wondrous Items|Nolzur's Marvelous Pigments|16,000 gp
Weapons|Oathbow (longbow)|13,000 gp
Armor|Obsidian Flint Dragon Plate|27,000 gp
Potions & Oils|Oil Of Etherealness|2,000 gp
Potions & Oils|Oil Of Sharpness|2,200 gp
Potions & Oils|Oil Of Slipperiness|250 gp
Wondrous Items|Opal Of The Ild Rune|3,500 gp
Wondrous Items|Orb Of Direction|50 gp
Wondrous Items|Orb Of Gonging|50 gp
Wondrous Items|Orb Of Shielding|80 gp
Wondrous Items|Orb Of Shielding|80 gp
Wondrous Items|Orb Of The Stein Rune|2,700 gp
Wondrous Item|Orb of the Veil|31,000 gp
Wondrous Items|Orb Of Time|50 gp
Weapons|Orcsplitter (greataxe)|60,000 gp
Wondrous Items|Ornithopter of Flying|3,500 gp
Wondrous Items|Outer Essence Shard|2,000 gp
Wondrous Items|Paper Bird|350 gp
Shields|Pariah's Shield|1,500 gp
Wondrous Items|Pearl Of Power|400 gp
Wondrous Items|Pennant Of The Vind Rune|13,000 gp
Wondrous Items: Head|Peregrine Mask|6,000 gp
Potions & Oils|Perfume Of Bewitching|75 gp
Wondrous Items: Neck|Periapt Of Health|250 gp
Wondrous Items: Neck|Periapt Of Proof Against Poison|4,700 gp
Wondrous Items: Neck|Periapt Of Wound Closure|375 gp
Potions & Oils|Philter Of Love|150 gp
Wondrous Items|Pipe Of Remembrance|50 gp
Wondrous Items|Pipe Of Smoke Monsters|50 gp
Wondrous Items|Pipes Of Haunting|300 gp
Wondrous Items|Pipes Of The Sewers|150 gp
Wondrous Items: Shoulders|Piwafwi (Cloak Of Elvenkind)|200 gp
Wondrous Items: Shoulders|Piwafwi Of Fire Resistance|1,400 gp
Wondrous Items|Pixie Dust|1,000 gp
Wondrous Items|Planecaller's Codex|3,500 gp
Armor|Plate Armor Of Etherealness|60,000 gp
Wondrous Items|Platinum Scarf|20,000 gp
Wondrous Items|Pole Of Angling|50 gp
Wondrous Items|Pole Of Collapsing|55 gp
Weapons|Polymorph Blade (any sword)|6,500 gp
Wondrous Items|Portable Hole|5,000 gp
Wondrous Items|Pot Of Awakening|85 gp
Potions|Potion of Advantage|125 gp
Potions & Oils|Potion Of Animal Friendship|200 gp
Potions & Oils|Potion of Aqueous Form|1,000 gp
Potions & Oils|Potion Of Clairvoyance|900 gp
Potions & Oils|Potion Of Climbing|30 gp
Potions & Oils|Potion Of Comprehension|25 gp
Potions & Oils|Potion Of Diminution|500 gp
Potions|Potion of Dragon's Majesty|15,000 gp
Potions & Oils|Potion Of Fire Breath|350 gp
Potions & Oils|Potion Of Flying|2,500 gp
Potions & Oils|Potion Of Gaseous Form|1,500 gp
Potions & Oils|Potion Of Giant Size|11,000 gp
Potions & Oils|Potion Of Giant Strength (Cloud)|1,800 gp
Potions & Oils|Potion Of Giant Strength (Fire)|1,200 gp
Potions & Oils|Potion Of Giant Strength (Frost/Stone)|650 gp
Potions & Oils|Potion Of Giant Strength (Hill)|125 gp
Potions & Oils|Potion Of Giant Strength (Storm)|8,000 gp
Potions & Oils|Potion Of Growth|300 gp
Potions & Oils|Potion Of Healing|50 gp
Potions & Oils|Potion Of Healing (Greater)|300 gp
Potions & Oils|Potion Of Healing (Superior)|750 gp
Potions & Oils|Potion Of Healing (Supreme)|1,500 gp
Potions & Oils|Potion Of Heroism|800 gp
Potions & Oils|Potion Of Invisibility|2,000 gp
Potions & Oils|Potion Of Invulnerability|1,500 gp
Potions & Oils|Potion Of Longevity|3,000 gp
Potion|Potion of Maximum Power|2,000 gp
Potions & Oils|Potion Of Mind Control (Beast)|1,600 gp
Potions & Oils|Potion Of Mind Control (Humanoid)|2,500 gp
Potions & Oils|Potion Of Mind Control (Monster)|6,000 gp
